Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","3.7 V","BatteryHolder_Keystone_1042_1x18650",141.610106,-55.500000,0.000000,top
"C1","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",107.775000,-83.550000,-90.000000,top
"C3","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",127.525000,-90.250000,-90.000000,top
"C4","2 x 22u","CP_Radial_D5.0mm_P2.00mm",127.250000,-97.705113,90.000000,top
"C5","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",107.275000,-73.000000,0.000000,top
"D1","LED","LED_D5.0mm",145.475000,-73.250000,0.000000,top
"D2","LED","LED_D5.0mm",155.225000,-73.250000,0.000000,top
"D3","LED","LED_D5.0mm",136.300000,-73.000000,180.000000,top
"D4","LED","LED_D5.0mm",128.525000,-73.000000,180.000000,top
"DS1","WC1602A","WC1602A",109.610106,-112.392500,0.000000,top
"J1","USB_B_Mini","USB_Mini-B_Lumberg_2486_01_Horizontal",96.775000,-83.550000,-90.000000,top
"L1","1u","L_Radial_D7.2mm_P3.00mm_Murata_1700",106.750000,-97.750000,90.000000,top
"R1","330","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",167.775000,-105.750000,-90.000000,top
"R2","220","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",156.275000,-82.750000,90.000000,top
"R3","220","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",156.275000,-89.250000,90.000000,top
"R4","200","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",176.025000,-85.500000,90.000000,top
"R5","200","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",176.025000,-97.450000,90.000000,top
"R6","1.2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",131.250000,-79.500000,0.000000,top
"R7","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",117.025000,-68.000000,180.000000,top
"R8","1k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",131.250000,-84.500000,180.000000,top
"R9","100k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",109.250000,-88.750000,180.000000,top
"R10","732k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",113.500000,-94.750000,90.000000,top
"RV1","R_Potentiometer_Small","Potentiometer_Bourns_3299Y_Vertical",121.815000,-101.110000,0.000000,top
"SW1","SW_Push","SW_PUSH_6mm_H4.3mm",164.525000,-83.250000,0.000000,top
"SW2","SW_Push","SW_PUSH_6mm_H4.3mm",164.525000,-95.000000,0.000000,top
"SW3","SPDT","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",122.025000,-85.500000,180.000000,top
"U1","NUCLEO64-F446RE","QFP50P1200X1200X160-64N",144.525000,-87.750000,90.000000,top
"U2","PCF8574AP","DIP-16_W7.62mm",156.725000,-98.750000,-90.000000,top
"U3","TPS61023DRLR","SOT563-ORI",119.775000,-92.750000,-90.000000,top
"U4","TP4056","SOP127P600X175-9N",116.775000,-75.675000,180.000000,top
